,guid,premise,hypothesis,label
80979,336403796210,A woman in a formal gown plays a guitar and sings into a microphone headset.,A women wearing formal gown  and tune guitar and sings,0
81073,871909953412,Two men and a woman are in a recording studio.,Two men and a woman are making music.,1
81074,871909953411,Two men and a woman are in a recording studio.,Two men and a woman are baking.,2
81075,871909953410,Two men and a woman are in a recording studio.,Two men and a woman are in a studio.,0
81162,84962837110,"A group of people standing on public transit, two in the foreground are reading newspapers.",The people are on their way somewhere.,0
81163,84962837111,"A group of people standing on public transit, two in the foreground are reading newspapers.",No one has anything to read.,2
81164,84962837112,"A group of people standing on public transit, two in the foreground are reading newspapers.",The people are on the subway.,1
81195,2455649161410,A man and his son looking at a mime.,Man and child observing street preformer.,0
81196,2455649161412,A man and his son looking at a mime.,Man and son at a fesival.,1
81197,2455649161411,A man and his son looking at a mime.,Man and son looking at lions.,2
81344,226113880111,Caucasian boy in blue striped shirt contemplates eating hotdog.,A boy is eating a hotdog.,2
81345,226113880110,Caucasian boy in blue striped shirt contemplates eating hotdog.,A boy is wearing a blue striped shirt.,0
81346,226113880112,Caucasian boy in blue striped shirt contemplates eating hotdog.,A boy is holding a hotdog.,1
81650,6790355893011,Children playing basketball are captured with the team member in possession captured midair during a jump shot and the defending team blocking from the ground.,The child is taking a layup.,2
81651,6790355893012,Children playing basketball are captured with the team member in possession captured midair during a jump shot and the defending team blocking from the ground.,The defending team is playing good defense.,1
81652,6790355893010,Children playing basketball are captured with the team member in possession captured midair during a jump shot and the defending team blocking from the ground.,The child is about to get buckets.,0
81731,3569406219012,A Japanese woman in a colorful outfit is walking with a man dressed in black past a wooden building.,A Japanese woman is wearing a colorful dress.,1
81732,3569406219011,A Japanese woman in a colorful outfit is walking with a man dressed in black past a wooden building.,A Japanese woman is wearing black.,2
81733,3569406219010,A Japanese woman in a colorful outfit is walking with a man dressed in black past a wooden building.,A Japanese woman and man are walking outdoors.,0
81794,2930580341411,a boy squirts a squirt gun.,A boy rides his skateboard.,2
81795,2930580341412,a boy squirts a squirt gun.,A boy shoots a super soaker gun.,1
81796,2930580341410,a boy squirts a squirt gun.,A boy shoots a water gun.,0
81854,491987177110,"A man trying to shoo away a mongoose with a broom, while a man watches from behind.",The man is afraid of the mongoose.,0
81855,491987177111,"A man trying to shoo away a mongoose with a broom, while a man watches from behind.",The men love mongoose.,2
81856,491987177112,"A man trying to shoo away a mongoose with a broom, while a man watches from behind.",The men are friends.,1
81884,4478063110212,man sitting down playing chess alone,The man is moving a pawn.,1
81885,4478063110211,man sitting down playing chess alone,The man is upright.,2
81886,4478063110210,man sitting down playing chess alone,The man is his own opponent.,0
81887,1456393634112,A little boy doing a handstand on the beach.,The little boy is breakdancing.,1
81888,1456393634110,A little boy doing a handstand on the beach.,The little boy is upside down.,0
81889,1456393634111,A little boy doing a handstand on the beach.,The little boy is doing push ups.,2
82101,4490660229210,A conversation between a man smoking a cigarette and a woman of religion.,The woman believes in God.,0
82102,4490660229212,A conversation between a man smoking a cigarette and a woman of religion.,The woman is yelling at the man.,1
82103,4490660229211,A conversation between a man smoking a cigarette and a woman of religion.,The people are standing next to God.,2
82125,4745009944312,A beautiful Hawaiian dancer posing.,Hawaiian dancer being captured on camera,1
82126,4745009944310,A beautiful Hawaiian dancer posing.,Hawaiian dancer posing for camera,0
82127,4745009944311,A beautiful Hawaiian dancer posing.,Hawaiian dancer having drinks,2
82191,3526564503111,An older woman with glasses in a pink shirt is looking at a camera.,ne pellam ne nenu lepuka pothuna badacow,2
82192,3526564503110,An older woman with glasses in a pink shirt is looking at a camera.,ne amma mogudu unadu akada,0
82193,3526564503112,An older woman with glasses in a pink shirt is looking at a camera.,ne thalli jathi correct glass,1
82206,67210694210,A group of bystanders view the Eiffel Tower from a balcony.,The bystanders are in Paris.,0
82207,67210694212,A group of bystanders view the Eiffel Tower from a balcony.,The people are standing on a hotel balcony.,1
82208,67210694211,A group of bystanders view the Eiffel Tower from a balcony.,The people are in London.,2
82254,3447007090211,Group of young adults with buckets and soaking wet on street.,A group of protesters in front of the courthouse.,2
82255,3447007090212,Group of young adults with buckets and soaking wet on street.,People have a water fight in the middle of the road.,1
82256,3447007090210,Group of young adults with buckets and soaking wet on street.,A group of people in wet clothes with buckets.,0
82293,3151898976111,Two small children are talking in a field in front of a yellow caution tape.,The small children play tag in the field.,2
82294,3151898976110,Two small children are talking in a field in front of a yellow caution tape.,There are children in the field.,0
82295,3151898976112,Two small children are talking in a field in front of a yellow caution tape.,The girls stand next to a broken statue.,1
82449,2491265237210,People getting ready to attend a big church event.,The people are getting ready.,0
82450,2491265237211,People getting ready to attend a big church event.,The people are waiting in their cars.,2
82451,2491265237212,People getting ready to attend a big church event.,The people are getting ready for a reception.,1
82602,5077873899011,Man in all black with buzzed black hair and black earring stands with his right knee up and right hand on his knee and belts out into a microphone.,The singer's mouth is closed.,2
82603,5077873899012,Man in all black with buzzed black hair and black earring stands with his right knee up and right hand on his knee and belts out into a microphone.,The man who is singing is touching the knee of his jeans and propping his foot on an amplifier.,1
82604,5077873899010,Man in all black with buzzed black hair and black earring stands with his right knee up and right hand on his knee and belts out into a microphone.,A man with short hair is singing into a mic.,0
82653,6113672400412,A race car driver showering himself with champagne.,A race car driver won a race and now is drinking champagne with his wife,2
82654,6113672400411,A race car driver showering himself with champagne.,Don't drink and drive with eating in hands,2
